resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
73.17415215,5.8395967,9.352887259,3.172318973,1.47521947,microsoft/vscode,1.965169569,0.538038497,1.209899175,2.593033914,0.157653529,279.5716712,96.83260915
97.47320261,9.125490196,24.42352941,5.128104575,1.780637802,microsoft/vscode,3.653594771,3.492810458,1.68627451,4.078431373,4.100653595,279.5716712,96.83260915
67.9611891,6.140379851,9.53014038,3.260941371,1.542060217,microsoft/vscode,1.391412056,0.543352601,1.225433526,3.12716763,0.247729149,279.5716712,96.83260915
73.06887052,6.390266299,10.8466483,3.727272727,1.708307634,microsoft/vscode,0.680440771,0.241505969,1.542699725,3.650137741,0.315886134,279.5716712,96.83260915
88.74617068,8.076586433,21.85776805,4.811816193,1.74512321,microsoft/vscode,4.018599562,0.371991247,2.394967177,4.119256018,5.63238512,279.5716712,96.83260915
92.58978873,7.947183099,19.4278169,5.161971831,1.784731202,microsoft/vscode,2.702464789,3.758802817,1.346830986,3.665492958,0.521126761,279.5716712,96.83260915
95.16781036,5.739862757,9.416718653,3.212102308,1.521242249,microsoft/vscode,1.708671241,0.587024329,1.225202745,2.995009357,0.184653774,279.5716712,96.83260915
107.2207792,6.867965368,14.02380952,3.963203463,1.736376388,microsoft/vscode,1.116883117,0.779220779,1.493506494,5.991341991,0.471861472,279.5716712,96.83260915
107.0575416,6.551909892,12.58937316,3.760284035,1.85683409,microsoft/vscode,1.945886386,0.481145935,1.494368266,3.648628795,0.925808031,252.7563088,83.18965517
102.4664411,8.646362098,23.3677383,5.226734349,1.875207714,microsoft/vscode,3.745628878,2.794698252,2.033840948,3.676818951,3.781725888,252.7563088,83.18965517
76.45745288,6.388349515,11.05454026,3.548543689,1.828249506,microsoft/vscode,1.855796688,0.600513992,1.32809823,3.293832096,0.438606511,252.7563088,83.18965517
